id|titulo|precioOld|precioNew|imagen|link
20|Smartphone Samsung Galaxy Note 5 SM-N920I 4G LTE 32GB-16MPX 4G RAM- Gold Platinium|3600.00|2499.00|//media.linio.com.pe/p/samsung-9876-3970731-1-product.jpg|/p/smartphone-samsung-galaxy-note-5-sm-n920i-4g-lte-32gb-16mpx-4g-ram-gold-platinium-tm7p7r
21|Samsung Galaxy S6 G920 32GB 16MP 4G LTE Desbloqueado - Negro|3099.00|1749.00|//media.linio.com.pe/p/samsung-4035-9579441-1-product.jpg|/p/samsung-galaxy-s6-g920-32gb-16mp-4g-lte-desbloqueado-negro-jrdsvi
22|Apple iPhone 5s 16GB Desbloqueado-Negro|2299.00|1548.00|//media.linio.com.pe/p/apple-0963-2062611-1-product.jpg|/p/apple-iphone-5s-16gb-desbloqueado-negro-vf44c3
23|Smartphone LG L40 D170 4GB 3.15MP Dual SIM Desbloqueado - Negro|599.00|249.00|//media.linio.com.pe/p/lg-3183-8023131-1-product.jpg|/p/smartphone-lg-l40-d170-4gb-315mp-dual-sim-desbloqueado-negro-lhx37l
24|Apple iPhone 6 16GB 4G LTE Desbloqueado - Space Grey+ Lámina Protectora|3499.00|2149.00|//media.linio.com.pe/p/apple-2327-9097141-1-product.jpg|/p/apple-iphone-6-16gb-4g-lte-desbloqueado-space-grey-la-mina-protectora-judnkq
25|Smartphone iPro Trans II 3.5'' Doble chip 3G - Plateado.|389.00|249.99|//media.linio.com.pe/p/ipro-5437-459629-1-product.jpg|/p/smartphone-ipro-trans-ii-35-doble-chip-3g-plateado-s1568d
26|Smartphone BlackBerry Z10 16GB 8MP 4.2'' Desbloqueado - Blanco|1299.00|729.00|//media.linio.com.pe/p/blackberry-2970-5280421-1-product.jpg|/p/smartphone-blackberry-z10-16gb-8mp-42-desbloqueado-blanco-qfbolq
27|Samsung Galaxy Grand Prime DUOS Quad Core 8MP + 5MP 8GB - Negro|1599.00|649.00|//media.linio.com.pe/p/samsung-7626-8481031-1-product.jpg|/p/samsung-galaxy-grand-prime-duos-quad-core-8mp-5mp-8gb-negro-lfjm05
28|Smartphone Samsung Galaxy S5 Mini G800F 16GB 8MP 4G LTE Desbloqueado - Negro|1579.00|999.00|//media.linio.com.pe/p/samsung-7380-739919-1-product.jpg|/p/smartphone-samsung-galaxy-s5-mini-g800f-16gb-8mp-4g-lte-desbloqueado-negro-n3q5d1
29|Apple iPhone 6s 16GB-Rosa Dorado|3599.00|2999.00|//media.linio.com.pe/p/apple-2722-0027831-1-product.jpg|/p/apple-iphone-6s-16gb-rosa-dorado-yq6a29
