id|origen|titulo|link|precio|moneda|monedaSimbolo|condicion|imagen|preciOld
33|li|Smartphone Doogee Leo DG280 Desbloqueado Negro|/p/smartphone-doogee-leo-dg280-desbloqueado-negro-jt6jwg|289.99|Sol|S/.|nuevo|//media.linio.com.pe/p/doogee-5079-9268241-1-product.jpg|479.99
34|li|Smartphone Huawei Y3 Y360 4GB 1.3 Ghz QuadCore 5MP Desbloqueado - Negro|/p/smartphone-huawei-y3-y360-4gb-13-ghz-quadcore-5mp-desbloqueado-negro-n03ihu|299.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-1635-7914141-1-product.jpg|450.00
35|li|Samsung Galaxy A500H/DS Duos 16GB 13MP 5" Desbloqueado-Negro|/p/samsung-galaxy-a500h-ds-duos-16gb-13mp-5-desbloqueado-negro-qdjyo0|999.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-2709-5523141-1-product.jpg|1899.00
36|li|Smartphone Sony Xperia M4 AQUA E2306 16GB 13MP 4G LTE Desbloqueado - Negro|/p/smartphone-sony-xperia-m4-aqua-e2306-16gb-13mp-4g-lte-desbloqueado-negro-oq04et|979.00|Sol|S/.|nuevo|//media.linio.com.pe/p/sony-3247-6546331-1-product.jpg|1699.00
37|li|Smartphone Samsung Galaxy S5 Mini G800F 16GB 8MP 4G LTE Desbloqueado - Blanco|/p/smartphone-samsung-galaxy-s5-mini-g800f-16gb-8mp-4g-lte-desbloqueado-blanco-lg6sv9|999.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-8165-839919-1-product.jpg|1579.00
38|li|Motorola Moto G 3ra Generación 4G LTE - Negro|/p/motorola-moto-g-3ra-generacio-n-4g-lte-negro-oqm3ap|989.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-5387-6451151-1-product.jpg|1199.00
39|li|Smartphone iPro Q10 3.5'' Android 4.2.2 Doble chip MicroSD 32GB - Negro.|/p/smartphone-ipro-q10-35-android-422-doble-chip-microsd-32gb-negro-tmasb1|259.99|Sol|S/.|nuevo|//media.linio.com.pe/p/ipro-1846-399629-1-product.jpg|399.00
40|li|Motorola Moto G 3ra Generación XT1540 8GB 13MP 5'' 4G LTE Libre de Fábrica- Negro|/p/motorola-moto-g-3ra-generacio-n-xt1540-8gb-13mp-5-4g-lte-libre-de-fa-brica-negro-qfxly2|879.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-5206-5197141-1-product.jpg|1000.00
41|li|Motorola Moto X 2 XT1097 32GB 13MP 4G LTE Desbloqueado - Negro + REGALO Vidrio Templado|/p/motorola-moto-x-2-xt1097-32gb-13mp-4g-lte-desbloqueado-negro-regalo-vidrio-templado-n487wf|1250.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-2847-7206711-1-product.jpg|1499.00
42|li|neuimage - Smartphone Phablet aoc Dual Sim 3G NIM-600Q quadcore 1.3ghz 6" - negro|/p/neuimage-smartphone-phablet-aoc-dual-sim-3g-nim-600q-quadcore-13ghz-6-negro-s0hwc1|269.00|Sol|S/.|nuevo|//media.linio.com.pe/p/aoc-9446-4612151-1-product.jpg|599.00
43|li|Smartphone Doogee Nova Y100X Blanco|/p/smartphone-doogee-nova-y100x-blanco-ryp956|339.99|Sol|S/.|nuevo|//media.linio.com.pe/p/doogee-7989-4958241-1-product.jpg|689.99
44|li|Smartphone Samsung Galaxy SIII Mini I8200 8GB 5MP Desbloqueado - Negro|/p/smartphone-samsung-galaxy-siii-mini-i8200-8gb-5mp-desbloqueado-negro-vayn6x|449.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-9484-2726331-1-product.jpg|999.00
45|li|SONY XPERIA Z5 E6683 DUAL SIM 4G LTE LIBRE DE FABRICA- VERDE|/p/sony-xperia-z5-e6683-dual-sim-4g-lte-libre-de-fabrica-verde-tombbo|2499.00|Sol|S/.|nuevo|//media.linio.com.pe/p/sony-8529-3509241-1-product.jpg|3500.00
46|li|Huawei P8 Libre 13mp  4GLte - Gris|/p/huawei-p8-libre-13mp-4glte-gris-n02xo5|1385.99|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-6162-7901431-1-product.jpg|3000.00
47|li|vkworld vk700 5.5" HD IPS 3G Smartphone libre Android 4.4 Quad Core 8GB Negro EU|/p/vkworld-vk700-55-hd-ips-3g-smartphone-libre-android-44-quad-core-8gb-negro-eu-x2o2gn|249.00|Sol|S/.|nuevo|//media.linio.com.pe/p/vkworld-3731-1024351-1-product.jpg|416.00
48|li|Amgoo - Smartphone AM506G Liberado - Azul|/p/amgoo-smartphone-am506g-liberado-azul-wx9yt5|159.00|Sol|S/.|nuevo|//media.linio.com.pe/p/amgoo-1914-1920931-1-product.jpg|269.00
49|li|Smartphone Motorola Moto E 2da Generación XT1527 8GB 5MP 4G LTE Desbloqueado - Negro|/p/smartphone-motorola-moto-e-2da-generacio-n-xt1527-8gb-5mp-4g-lte-desbloqueado-negro-n3ngwz|499.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-6211-7394431-1-product.jpg|999.00
50|li|Samsung Galaxy S6 EDGE 64G-G925-Dorado 4G LTE|/p/samsung-galaxy-s6-edge-64g-g925-dorado-4g-lte-qfx2pk|2499.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-5729-5122441-1-product.jpg|3400.00
51|li|Lg G4 Stylus - PantallaHD 5.7" QUADCore 4GLte 8MP + Frontal 5MP 8GB NFC Lapiz Stylus- Gris|/p/lg-g4-stylus-pantallahd-57-quadcore-4glte-8mp-frontal-5mp-8gb-nfc-lapiz-stylus-gris-s2ucea|988.00|Sol|S/.|nuevo|//media.linio.com.pe/p/lg-2767-4292741-1-product.jpg|1499.00
52|li|Samsung Galaxy S4 Mini i9195 - 4G - 8MP - QUAD CORE 1.2GHz - 8GB - Desbloqueado - Negro|/p/samsung-galaxy-s4-mini-i9195-4g-8mp-quad-core-12ghz-8gb-desbloqueado-negro-qeqmvw|719.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-1414-5382241-1-product.jpg|1400.00
53|li|Amgoo - Smartphone AM506G Liberado - Rojo|/p/amgoo-smartphone-am506g-liberado-rojo-yktbax|159.00|Sol|S/.|nuevo|//media.linio.com.pe/p/amgoo-1913-0920931-1-product.jpg|269.00
54|li|Smartphone LG G2 Mini Dual Sim D618 8GB 8MP Desbloqueado - negro|/p/smartphone-lg-g2-mini-dual-sim-d618-8gb-8mp-desbloqueado-negro-yq87i1|599.00|Sol|S/.|nuevo|//media.linio.com.pe/p/lg-5629-003791-1-product.jpg|1299.00
55|li|Smartphone Huawei P8 Lite 16GB - Negro|/p/smartphone-huawei-p8-lite-16gb-negro-lhb3j0|919.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-9968-8149341-1-product.jpg|1799.00
