marca;modelo
Motorola;Motorola Motokey 3-Chip
Motorola;Motorola Motokey Social
Motorola;Motorola Motokey XT
Motorola;Motorola Motoluxe
Motorola;Motorola Motoluxe XT389
Motorola;Motorola Moto Maxx
Motorola;Motorola MotoROI
Motorola;Motorola Motosmart Dual-SIM
Motorola;Motorola Motosmart Flip
Motorola;Motorola Motosmart Me
Motorola;Motorola Motosmart Mix XT550
Motorola;Motorola Motosmart Mix XT553
Motorola;Motorola MOTO W408g
Motorola;Motorola Moto X
Motorola;Motorola Moto X 2nd Gen
Motorola;Motorola Moto X Force
Motorola;Motorola Moto X Play
Motorola;Motorola Moto X Pro
Motorola;Motorola Moto X Style
Motorola;Motorola MPx
Motorola;Motorola MPx100
Motorola;Motorola MPx200
Motorola;Motorola MPx220
Motorola;Motorola MPx300
Motorola;Motorola MT620
Motorola;Motorola MT680
Motorola;Motorola MT710
Motorola;Motorola MT716
Motorola;Motorola MT720
Motorola;Motorola MT788
Motorola;Motorola MT810
Motorola;Motorola MT870
Motorola;Motorola MT917
Motorola;Motorola Nexus 6
Motorola;Motorola P7389i
Motorola;Motorola P7689
Motorola;Motorola PEBL U3
Motorola;Motorola PEBL U6
Motorola;Motorola Photon 4G
Motorola;Motorola Photon Q 4G LTE
Motorola;Motorola Pro+
Motorola;Motorola Q
Motorola;Motorola Q11
Motorola;Motorola QA1 Karma
Motorola;Motorola Q Global
Motorola;Motorola Q Q9
Motorola;Motorola Quantico
Motorola;Motorola Quench
Motorola;Motorola Quench XT3
Motorola;Motorola RAZR
Motorola;Motorola RAZR2 V8
Motorola;Motorola RAZR2 V8 LE
Motorola;Motorola RAZR2 V9
Motorola;Motorola RAZR2 V9 Ferrari
Motorola;Motorola RAZR2 V9x
Motorola;Motorola RAZR D1
Motorola;Motorola RAZR D1 Dual SIM
Motorola;Motorola RAZR D3
Motorola;Motorola RAZR D3 Dual SIM
Motorola;Motorola RAZR HD
Motorola;Motorola RAZR i
Motorola;Motorola RAZR M
Motorola;Motorola RAZR Maxx
Motorola;Motorola RAZR maxx V6
